symbol	log2FoldChange	padj
COL18A1-AS1	-2.250078808	3.41E-06
NA	-2.242780011	0.000355269
TNXB	-2.058485862	0.000510484
AC124319.2	-1.842330115	1.94E-06
AC005726.2	-1.557982939	0.02033511
AP000347.1	-1.551587702	4.37E-07
AC027290.2	-1.422674565	2.91E-05
MALAT1	-1.348429422	5.24E-09
DNM1P47	-1.311335472	0.007292044
MAMDC4	-1.305434743	0.00080621
NA	-1.176922443	0.014575812
SLC26A1	-1.158795744	0.012908384
NPTX1	-1.145209397	0.017906104
MIRLET7BHG	-1.134177278	0.000291871
UCKL1-AS1	-1.129646291	0.002004054
AL355987.4	-1.036130039	0.007907293
SLCO4A1	-1.001872418	0.001197966
AC012615.6	-1.000388563	0.012547301
AC003681.1	-0.98718549	0.005347301
AC129492.3	-0.976599979	0.007520636
GPR17	-0.959931836	0.018544494
PKD1	-0.927210122	2.08E-16
TMEM110-MUSTN1	-0.92341996	0.001469059
LAMA5	-0.919163649	1.85E-09
AC020916.1	-0.917449911	3.16E-07
RN7SL2	-0.913457019	0.000291871
NA	-0.880485431	0.040149703
NPIPB11	-0.86572909	0.009452112
SMG1P3	-0.865214721	0.017906104
XKR6	-0.862645708	0.036619096
AC006538.2	-0.852993353	0.043233625
LDLRAD2	-0.848768346	2.94E-05
AL031595.3	-0.847607672	0.021463987
FAM157C	-0.842443625	0.028630307
SLC16A3	-0.83359111	0.000355269
ARHGAP33	-0.819842489	0.020847726
DNHD1	-0.819344856	0.009452383
AC004951.1	-0.814814146	0.03437883
AC004623.1	-0.811118471	0.042276368
PXN-AS1	-0.806195371	0.041107409
PKD1P5	-0.783124224	0.00013346
AC007952.6	-0.766972378	0.033835929
DENND6B	-0.764878359	0.017906104
PAPLN	-0.759126915	0.015399762
ZNF628	-0.757699519	0.002673373
CYP2D7	-0.745264482	0.046927635
VCAN	-0.743366041	0.048777179
BAHCC1	-0.743035811	0.001733173
NA	-0.740463132	0.045638801
SZT2	-0.734651417	0.00140054
LENG8	-0.729262174	9.45E-07
ANKS6	-0.726117119	0.000510484
HECTD4	-0.723902604	9.80E-06
AC245452.1	-0.719594165	0.046060278
SPACA6	-0.717422281	0.00150839
C1orf132	-0.714060886	0.03799903
AC132872.4	-0.705656868	0.017824233
EME2	-0.698990187	0.010150928
TMEM202-AS1	-0.695709199	0.031854696
AL928654.5	-0.693688429	0.005366764
TBX1	-0.692254795	0.012801533
MMP25-AS1	-0.690682825	0.010127815
TMEM189-UBE2V1	-0.687738969	0.035892038
SREBF1	-0.687018255	5.61E-05
RTEL1-TNFRSF6B	-0.667698016	0.000200023
AL669831.1	-0.663323552	0.000864744
PASK	-0.660642211	0.018791833
RPS6KA1	-0.659818301	0.000825016
SPTBN5	-0.658668529	3.29E-06
SHANK3	-0.656891934	7.87E-06
SLC2A11	-0.652942969	0.007218453
PKD1P6	-0.652069476	5.94E-05
AC109460.3	-0.650548212	0.022853393
HSPG2	-0.639872661	7.08E-08
LIME1	-0.639827647	0.019462856
FSTL3	-0.630755148	0.009631242
HIF3A	-0.619558864	0.001669342
MFSD14C	-0.616751545	0.029110735
GPC2	-0.612012429	0.009946403
LINC00342	-0.605312993	0.018772116
STK11IP	-0.600054451	0.020296649
MSH5	-0.599891729	0.028333425
ZNF775	-0.588751165	0.023292086
PHLDB3	-0.587318744	0.003814384
AL118506.1	-0.583261591	0.008456549
SLX1A-SULT1A3	-0.58165348	0.005034052
KRT7	-0.57422984	0.001175801
CLEC4GP1	-0.571904918	0.04205072
GNB1L	-0.570067744	0.025489217
KYAT1	-0.565442826	0.042094292
MC1R	-0.560219657	0.034525649
GCN1	-0.558035248	0.003644628
BID	-0.557839565	0.005091429
PIM1	-0.552087042	0.006550725
PABPC1L	-0.551741823	0.036395893
LRP1	-0.551208169	0.024571734
WRAP73	-0.550608708	0.000446585
CBX4	-0.543389531	0.039312825
AC138932.1	-0.543370834	0.02053347
RTEL1	-0.54135235	0.006295536
NEAT1	-0.537427506	0.003504448
BICRA	-0.537421953	0.022169806
AC131212.3	-0.534281755	0.028737755
PLXNA1	-0.532390161	2.94E-05
ARHGEF1	-0.531782493	0.001270661
ARHGEF1	-0.531782493	0.001270661
DENND4B	-0.531100524	0.000656461
AC104581.5	-0.530911992	0.042276368
ZNF319	-0.528505711	0.033472939
SDF2L1	-0.528045436	0.037939945
PGP	-0.526435018	0.02711776
DOCK6	-0.526060081	2.00E-06
DMPK	-0.524574553	0.023099228
DHH	-0.524280725	0.010478252
ROMO1	-0.521286253	0.04347761
PI4KAP1	-0.520156204	0.000864744
DOT1L	-0.519920117	1.68E-05
IL18BP	-0.516237814	0.027756252
PPP2R3B	-0.515941825	0.009859622
RFX1	-0.515766388	0.013414531
NCOR2	-0.514155745	0.022110872
DPP9	-0.513467495	0.000291871
ANKRD13D	-0.513043959	0.002105835
CAPN15	-0.511624905	0.003578326
SGK494	-0.510394208	0.041990155
MIF	-0.5087964	0.023411437
AC018638.5	-0.50822793	0.031526542
SPPL2B	-0.507084423	0.00441433
NAT6	-0.506481439	0.035398773
PLXNB1	-0.505915782	0.001679766
UBE2S	-0.505798408	0.04372943
KLHL17	-0.50419151	0.002237416
ACAP3	-0.498580846	0.013565572
SIPA1	-0.496765772	0.007813662
SELENOO	-0.494792049	0.030553537
U2AF1	-0.494307628	0.031609411
MROH1	-0.492328664	0.0002151
GDF15	-0.491609041	0.017906104
NPIPA1	-0.491392558	5.94E-05
NPIPA1	-0.491392558	5.94E-05
GPAA1	-0.486537271	0.007850132
NSUN5P1	-0.486307089	0.029028666
MICALL2	-0.486115603	0.000282719
RHBDF2	-0.48593718	0.005932307
FAAP20	-0.482909607	0.039910552
TST	-0.480010044	0.017906104
UVSSA	-0.479082233	0.03266704
UVSSA	-0.479082233	0.03266704
SRRM2	-0.478925027	0.01707774
TONSL	-0.478023782	0.005213562
RNF166	-0.477425617	0.020296649
LINC00667	-0.476421074	0.008456549
MRPL41	-0.47542884	0.039065045
PUSL1	-0.475166118	0.02271647
PDLIM7	-0.473571382	0.003644628
MAP3K10	-0.471989001	0.009184488
ZNF703	-0.470404234	0.035794984
BOP1	-0.469704223	0.020719345
TOP3B	-0.468577582	0.000530144
LUC7L2	-0.46848472	0.006312067
FAM57A	-0.468338663	0.034044087
XRCC3	-0.467287833	0.043568213
MAP3K6	-0.466113307	0.003644628
UBALD2	-0.464134228	0.0240846
ARHGAP22	-0.462516231	0.00101963
KCTD13	-0.461226037	0.029110735
HGS	-0.45868023	0.000510484
TMEM198B	-0.458509037	0.003591711
FBRSL1	-0.457878854	0.004773433
RBM14	-0.457378746	0.00133901
ESPL1	-0.456724231	0.005091429
CLUH	-0.455196375	0.009433298
AC138969.1	-0.455188986	0.029099609
KMT2B	-0.453431134	0.005213562
VPS9D1-AS1	-0.452875567	0.01750345
LTB4R	-0.452540971	0.049497904
GABPB1-AS1	-0.452458439	0.005971083
GAK	-0.451263538	0.002125016
RPS6KA4	-0.448259181	0.003392701
SBF1	-0.447540485	0.000939203
PLEKHM1P1	-0.447332138	0.031510966
LLGL1	-0.44638152	0.005188155
PYCR1	-0.445268222	0.005971083
C14orf80	-0.444629661	0.040688349
MIDN	-0.444006461	0.007583727
UBR4	-0.440916418	0.005188155
AL031282.2	-0.440648509	0.029028666
KMT2D	-0.440543224	0.049377282
FANCA	-0.434980635	0.012364238
MBD3	-0.43287444	0.032805848
SNAPC4	-0.432167394	0.003573439
VPS51	-0.431982515	0.021575406
TMC6	-0.431866636	0.014373284
ADCK5	-0.431608132	0.039910552
WIZ	-0.431426223	0.010478252
MIB2	-0.42914912	0.021903698
SBNO2	-0.42898461	0.004029696
DMWD	-0.426822585	0.005079272
NPIPB5	-0.426121053	0.036347896
KMT5C	-0.425272282	0.034330553
FRMD8	-0.424304656	0.037287485
MALSU1	-0.423748691	0.041476486
ASPSCR1	-0.423730121	0.031669748
TNFRSF25	-0.423064928	0.032932462
EIF3F	-0.422946858	0.012801533
WDR90	-0.422827969	0.019794135
RNF213	-0.421833517	0.022853393
ABHD17A	-0.420652268	0.04806714
SSBP4	-0.420029193	0.046927635
RHBDF1	-0.418827869	0.003255331
TNK2	-0.41769869	0.009452383
TRAP1	-0.417352025	0.007665037
MAPK8IP3	-0.416034557	0.000404042
MEX3D	-0.415355526	0.043534904
SPHK1	-0.414478429	0.043568213
IFI27	-0.41397893	0.044776104
STXBP2	-0.412868526	0.005770577
INPPL1	-0.412304979	3.29E-06
LPCAT4	-0.410662024	0.023888821
NBEAL2	-0.409915648	0.002725608
CROCCP2	-0.409010504	0.003461946
WDR4	-0.408952803	0.042334888
TSC2	-0.408692706	0.031678919
INO80E	-0.406494947	0.011558987
PARP1	-0.405061863	0.021438085
ACAD10	-0.404375043	0.022110872
PLEC	-0.40240755	0.034458458
CYR61	-0.402196758	0.001609935
ST6GALNAC4	-0.401900716	0.029110735
RAI1	-0.396648408	0.006775663
HIVEP1	-0.39345651	0.046661008
ACD	-0.392099024	0.047718473
RNF114	-0.391862336	0.042276368
TLNRD1	-0.391250384	0.032805848
BTBD19	-0.390803648	0.006851132
CAMTA2	-0.39020525	0.004572709
CUL9	-0.38930293	0.006851132
MRPL4	-0.388983262	0.035628338
UNC93B1	-0.388215547	0.04700549
POLRMT	-0.387995653	0.014032874
SLC25A10	-0.38779875	0.026592931
MNT	-0.387739971	0.018926782
CICP14	-0.387441089	0.023411437
DGKQ	-0.386639169	0.010478252
GPR173	-0.385913948	0.041107409
NT5DC2	-0.385556814	0.020913157
DEF8	-0.38544939	0.024357936
NPIPB3	-0.385307246	0.049343461
SAPCD2	-0.384163964	0.03768065
CBR1	-0.383569127	0.022772216
SLC38A5	-0.381655636	0.045084448
NOTCH1	-0.381510605	0.026676004
KLF2	-0.380126682	0.045601478
CRYBB2P1	-0.380030604	0.044776104
DAZAP1	-0.378081151	0.006723931
SPOCD1	-0.37638811	0.027919905
THOP1	-0.376325186	0.036210683
STAB1	-0.376034098	0.004321182
PRKD2	-0.375995479	0.008307672
DVL2	-0.374289191	0.022524162
PLEKHG5	-0.371066915	0.000864744
EHD1	-0.370827916	0.030434906
USB1	-0.370773054	0.033121762
ZMYND19	-0.370598361	0.035166173
MZF1	-0.37052078	0.017824233
SEMA3F	-0.369629718	0.005174605
ATG16L2	-0.369278151	0.017624575
FASN	-0.36876086	0.000355269
GRK6	-0.367527925	0.020847726
EIF4A3	-0.366729135	0.030002505
SGSH	-0.36617917	0.049010693
FERMT3	-0.365565574	0.015408599
ZMIZ2	-0.362809883	0.009946403
CHST2	-0.362274195	0.045020738
PIEZO1	-0.362194709	0.004029696
ENGASE	-0.361345259	0.020061361
PLEKHG4	-0.361070219	0.006851132
MEG3	-0.360869631	0.006851132
CDK10	-0.360663127	0.031135249
LRCH4	-0.360191816	0.041538284
AP5Z1	-0.359631392	0.029110735
PMPCA	-0.359625657	0.04834847
NACC1	-0.35819917	0.012547301
ZBTB45	-0.358015202	0.04141772
RIN3	-0.356757988	0.029546364
QSOX1	-0.356185523	0.020505963
LZTS2	-0.354817753	0.043568213
PHYKPL	-0.354814668	0.007813662
POLR3E	-0.353126114	0.029028666
POLR3E	-0.353126114	0.029028666
ESRRA	-0.352381831	0.043951387
DCHS1	-0.351266129	0.035743144
SFI1	-0.349386819	0.029110735
UCKL1	-0.349177302	0.041800091
RRP12	-0.349056447	0.031678919
REXO1	-0.348823242	0.019855721
MYO9B	-0.348600734	0.003625351
ZDHHC8	-0.34856745	0.028651775
PTGER4	-0.348044069	0.036619096
ADCY6	-0.347176155	0.028205363
SLC12A4	-0.346021627	0.003336605
TKFC	-0.346016582	0.048984217
FADS3	-0.345384079	0.041788108
ABCA2	-0.344228582	0.036384287
CAPN10	-0.344136746	0.03799903
TEPSIN	-0.343508484	0.022772216
ARHGEF18	-0.34240955	0.01104179
NCS1	-0.341680988	0.007505318
STAG3L3	-0.3416439	0.04141772
KLC1	-0.340128533	0.040609984
CD44	-0.339792508	0.036135588
DYNC1H1	-0.339773778	0.048791411
IRF2BPL	-0.339338178	0.028333425
TINAGL1	-0.339106701	0.042276368
MAPKBP1	-0.339022664	0.041493021
CHST12	-0.338787634	0.042276368
ARFGAP1	-0.338167778	0.02997044
CLK2	-0.337097098	0.008522444
RHOT2	-0.336258384	0.048517037
TOR1B	-0.336175997	0.02033511
CEP170B	-0.334381655	0.018544494
KCNC4	-0.334355842	0.015682937
TCIRG1	-0.334084884	0.019680824
SUN2	-0.333648544	0.033472939
KLC2	-0.333443577	0.041990155
CORO1B	-0.33340849	0.026468187
MAN2C1	-0.333397257	0.007583727
SERINC2	-0.332770489	0.049031762
FBXW5	-0.332626188	0.040120351
MYBBP1A	-0.330454602	0.02033511
CDK11A	-0.327712807	0.033314835
FAAP100	-0.326545971	0.022169806
CARD11	-0.326443355	0.005188155
NSMF	-0.326065056	0.020847726
INTS1	-0.326060195	0.02033511
DENND3	-0.325380582	0.035166173
CABIN1	-0.324025095	0.009452112
LTBP3	-0.323689856	0.036395893
MEGF6	-0.321877786	0.044776104
CARM1	-0.321381319	0.023411437
SLC26A11	-0.321291916	0.045020738
FHOD1	-0.321014018	0.040145416
MIER2	-0.320853724	0.014558044
DVL1	-0.320077326	0.048469203
ABCB8	-0.318344115	0.025489217
FLNA	-0.317796849	0.023071984
PCNX3	-0.317721857	0.015757667
PRR12	-0.317461591	0.034721112
PVR	-0.317281026	0.00565747
MFSD12	-0.314771434	0.020384566
PLK3	-0.311051877	0.040120351
RFNG	-0.310941064	0.048304483
SLC5A6	-0.310169938	0.018074317
SLC39A13	-0.309356214	0.044906457
NADK	-0.306543558	0.041107409
MKL1	-0.306259662	0.039846776
PNKP	-0.305351721	0.044776104
MED15	-0.302520232	0.014308155
4-Mar	-0.29973054	0.023812544
MOGS	-0.29888889	0.017906104
TBCD	-0.29641661	0.048992542
TYK2	-0.295470758	0.018693578
AP5B1	-0.293344954	0.031592781
SLC7A6	-0.292998878	0.046082875
CPSF1	-0.29258668	0.03799903
GALNS	-0.292237862	0.036619096
GRWD1	-0.290532079	0.046927635
SMTN	-0.28914975	0.022110872
SEC16A	-0.289016094	0.014410137
TUBGCP6	-0.287705638	0.017824233
SMPD4	-0.286669486	0.023458917
NOS3	-0.286416015	0.031669748
CYB561	-0.284764318	0.041800091
GATD1	-0.284739631	0.021438085
SPNS1	-0.282826042	0.039910552
SLC9A1	-0.280867762	0.020505963
CMTM3	-0.278903336	0.036053864
NOTCH4	-0.275285193	0.030319575
KIFC3	-0.274480801	0.048087741
MTA1	-0.274450212	0.039312825
PLAU	-0.27373647	0.02887913
EPHB2	-0.270960046	0.036619096
PACS2	-0.269397751	0.024379426
PPP6R1	-0.268785405	0.022836643
PRRC2A	-0.267653099	0.044655863
FSD1	-0.267557601	0.049740299
SGSM2	-0.267488621	0.043568213
TNPO2	-0.267261138	0.041990155
SYMPK	-0.266296815	0.046927635
PHLDB1	-0.264779262	0.022836643
SLC17A9	-0.262591066	0.042276368
AMPD2	-0.26234796	0.03616862
MCAM	-0.261619447	0.009452112
ARAP1	-0.261498002	0.049325064
LETM1	-0.255404401	0.037370837
SERPINE1	-0.254542802	0.011026916
FURIN	-0.252598859	0.049740299
MAEA	-0.251446254	0.046927635
RUSC2	-0.248217743	0.041624781
DHX30	-0.245589655	0.047794264
LMNB2	-0.243196788	0.049343461
CAD	-0.240264998	0.030690292
MINK1	-0.20646323	0.02312343
TLN2	-0.068177555	0.03616862
AC007192.1	-0.02234246	0.040269879
CU634019.1	0.022352833	0.000709165
SMARCE1	0.213584757	0.045937406
ACACA	0.21437973	0.049095894
STAU1	0.215791587	0.035794984
SMU1	0.217711022	0.049971276
PPT1	0.228889132	0.036508004
MMP2	0.232784432	0.033472939
TM9SF2	0.234346941	0.036542377
EDN1	0.235796757	0.042276368
STOM	0.240035603	0.039699614
CAV2	0.243521688	0.047405846
SUCLG2	0.243603575	0.042094292
AP3B1	0.243719886	0.032167662
AFG3L2	0.245982159	0.048718925
SDCBP	0.246703525	0.037370837
TARS	0.247692209	0.030445461
FXR1	0.247761231	0.029110735
RAB14	0.248293372	0.03437883
VAMP3	0.249612998	0.02887913
ADGRL4	0.250354264	0.047771699
NFE2L2	0.250831963	0.033858782
CAV1	0.253371215	0.031669748
SCP2	0.25493605	0.031669748
IPO11	0.25648809	0.035794984
AP1S2	0.256868567	0.049377282
CSNK2A2	0.258794271	0.041107409
NUDT4	0.259102322	0.031592781
WASHC2A	0.259148749	0.040392878
VAPB	0.259756896	0.022772216
RALA	0.26195474	0.019667987
VPS4B	0.262028522	0.038472515
EIF3A	0.262689144	0.015682937
CNN3	0.262843913	0.017824233
IDH1	0.263857658	0.040843685
CALU	0.263885406	0.026908783
TMEM263	0.264045612	0.033472939
MSH2	0.264462861	0.031678919
SNX2	0.264736863	0.041227194
SSR3	0.265395766	0.015757667
CYYR1	0.266895205	0.017624575
VPS26A	0.26730563	0.03939314
TEK	0.267553793	0.048554567
PAPSS1	0.268746038	0.043687523
SRP54	0.269472564	0.036210683
NT5E	0.269549435	0.034330553
MFSD1	0.270015394	0.042276368
TOPORS	0.270907796	0.04141772
CHURC1	0.27091443	0.015049121
SKA2	0.273035244	0.042276368
TWSG1	0.273414883	0.036384287
RANBP9	0.274012521	0.034680227
PPWD1	0.274373771	0.035166173
VDAC3	0.274756972	0.03266704
CMTM6	0.275752251	0.041493021
PARD3	0.276668917	0.034378554
PNRC2	0.277533244	0.039065045
ARG2	0.278922623	0.046350268
UBE2E3	0.280309308	0.039910552
NBR1	0.28035583	0.023411437
PCYT1A	0.282863571	0.02997044
SF3A3	0.283186803	0.027465931
PCNP	0.283255476	0.033993927
TMEM87A	0.283318626	0.03616862
FAM174B	0.283415495	0.028333425
SDAD1	0.284105307	0.048087741
FAM213A	0.285198658	0.019245973
SMARCA1	0.285405787	0.025661533
CCDC117	0.286533672	0.046956561
PSIP1	0.287152171	0.02997044
ELOVL5	0.287518734	0.015363313
PAFAH1B1	0.28767022	0.041493021
ZNF146	0.28768915	0.028333425
PALMD	0.2885355	0.020847726
C1RL	0.288573262	0.040149703
RRAGC	0.289154866	0.035892038
P4HA1	0.289573636	0.028333425
ATP8B1	0.291257771	0.049057437
ELK3	0.291574746	0.019680824
SYPL1	0.291944883	0.032932462
CUL3	0.292753918	0.031186431
SCOC	0.29384873	0.042276368
UBE2J1	0.295264266	0.009946403
FIP1L1	0.295563612	0.028295537
FZD6	0.297311351	0.046060278
YWHAZ	0.297607725	0.031510966
AGPAT5	0.298215664	0.046372138
PJA2	0.29822645	0.048517037
IFI16	0.298627736	0.015049121
PLS3	0.298751328	0.017732608
CHMP3	0.299090704	0.041952285
HNRNPH2	0.299140295	0.011870722
RBBP4	0.299618257	0.015151113
FIGNL1	0.300342557	0.036384287
MANSC1	0.300874463	0.007583727
GOLPH3L	0.30120318	0.028630307
NAP1L1	0.301762443	0.011676718
CCAR1	0.30443746	0.046060278
EFTUD2	0.304640622	0.035253403
SMAD1	0.305077119	0.030068726
TBC1D23	0.305490282	0.04060732
ACTR2	0.306107017	0.02887913
