GENE	0hr	1hr	3hr	24hr
chr1:5745948-5745978	0.227146	0.042001	0.0580649	0.0602997
chr1:5916171-5916201	0.198753	0.630016	0.329034	0.542697
chr1:6034638-6034668	0.00283932	0.126003	0.11613	0.156779
chr1:6392150-6392180	0.00283932	0.0210005	0.174195	0.0723597
chr1:6935538-6935568	0.0567865	0.0840021	0.15484	0.229139
chr1:7133216-7133246	0.198753	0.00210005	0.0774198	0.0844196
chr1:7248040-7248070	0.0283932	0.189005	0.0774198	0.0964795
chr1:7960970-7961000	0.255539	0.0210005	0.0387099	0.0482398
chr1:8071157-8071187	0.0567865	0.105003	0.212905	0.0844196
chr1:8180197-8180227	0.227146	0.042001	0.0387099	0.0120599
chr1:8182235-8182265	0.0567865	0.294007	0.0387099	0.0723597
chr1:8549329-8549359	0.227146	0.0630016	0.0387099	0.0361798
chr1:8734726-8734756	0.170359	0.042001	0.0019355	0.0844196
chr1:8941963-8941993	0.227146	0.0630016	0.135485	0.0964795
chr1:9517138-9517168	0.0283932	0.189005	0.0774198	0.00120599
chr1:10031782-10031812	0.340719	0.105003	0.0774198	0.0723597
chr1:10397228-10397258	0.227146	0.0210005	0.0774198	0.0361798
chr1:11169641-11169671	0.227146	0.042001	0.0387099	0.0241199
chr1:11871016-11871046	0.00283932	0.0630016	0.174195	0.0241199
chr1:11907820-11907850	0.0283932	0.189005	0.135485	0.277379
chr1:12124968-12124998	0.482685	0.315008	0.19355	0.301499
chr1:12314473-12314503	0.0851797	0.0630016	0.309679	0.229139
chr1:12604390-12604420	0.00283932	0.105003	0.15484	0.205019
chr1:13550308-13550338	0.227146	0.042001	0.0387099	0.0120599
chr1:13715074-13715104	0.255539	0.210005	0.0580649	0.192959
chr1:15697454-15697484	0.00283932	0.210005	0.0387099	0.0844196
chr1:15795331-15795361	0.198753	0.126003	0.0019355	0.108539
chr1:15954073-15954103	0.227146	0.00210005	0.11613	0.108539
chr1:16056261-16056291	0.113573	0.273007	0.309679	0.301499
chr1:17736038-17736068	0.00283932	0.168004	0.0967748	0.0482398
chr1:19002306-19002336	0.198753	0.0210005	0.019355	0.0241199
chr1:19097756-19097786	0.198753	0.042001	0.019355	0.0602997
chr1:20195344-20195374	0.0851797	0.252006	0.135485	0.434158
chr1:20267231-20267261	0.170359	0.0840021	0.0019355	0.132659
chr1:20785429-20785459	0.0283932	0.0840021	0.19355	0.00120599
